39	44	64    163    164
39	44	139    163    164
44	64	69    163    164
44	139	144    163    164
39	64	159    163    164
39	139	159    163    164
40	45	65    164    165
40	45	140    164    165
45	65	70    164    165
45	140	145    164    165
40	65	160    164    165
40	140	160    164    165
41	42	46    66    166
41	42	46    141    166
42	46	47    66    166
42	46	47    141    166
42	47	66    67    166
46	47	66    71    166
47	66	67    71    166
47	67	71    72    166
42	47	141    142    166
46	47	141    146    166
47	141	142    146    166
47	142	146    147    166
41	42	66    161    166
41	42	141    161    166
42	66	67    161    166
42	141	142    161    166
42	67	161    162    166
42	142	161    162    166
42	43	47    67    167
42	43	47    142    167
43	47	48    67    167
43	47	48    142    167
43	48	67    68    167
47	48	67    72    167
48	67	68    72    167
48	68	72    73    167
43	48	142    143    167
47	48	142    147    167
48	142	143    147    167
48	143	147    148    167
42	43	67    162    167
42	43	142    162    167
43	67	68    162    167
43	142	143    162    167
43	68	162    163    167
43	143	162    163    167
42	47	67    166    167
42	47	142    166    167
47	67	72    166    167
47	142	147    166    167
42	67	162    166    167
42	142	162    166    167
43	44	48    68    168
43	44	48    143    168
44	48	49    68    168
44	48	49    143    168
44	49	68    69    168
48	49	68    73    168
49	68	69    73    168
49	69	73    74    168
44	49	143    144    168
48	49	143    148    168
49	143	144    148    168
49	144	148    149    168
43	44	68    163    168
43	44	143    163    168
44	68	69    163    168
44	143	144    163    168
44	69	163    164    168
44	144	163    164    168
43	48	68    167    168
43	48	143    167    168
48	68	73    167    168
48	143	148    167    168
43	68	163    167    168
43	143	163    167    168
44	45	49    69    169
44	45	49    144    169
45	49	50    69    169
45	49	50    144    169
45	50	69    70    169
49	50	69    74    169
50	69	70    74    169
50	70	74    75    169
45	50	144    145    169
49	50	144    149    169
50	144	145    149    169
50	145	149    150    169
44	45	69    164    169
44	45	144    164    169
45	69	70    164    169
45	144	145    164    169
45	70	164    165    169
45	145	164    165    169
44	49	69    168    169
44	49	144    168    169
49	69	74    168    169
49	144	149    168    169
44	69	164    168    169
44	144	164    168    169
45	50	70    169    170
45	50	145    169    170
50	70	75    169    170
50	145	150    169    170
45	70	165    169    170
45	145	165    169    170
46	47	71    166    171
46	47	146    166    171
47	71	72    166    171
