fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Schuylkill Bingo Night Benefitting THON,Item Sale,Schuylkill,168,11/6/2023,11/6/2023,"Penn State Schuylkill Campus: 200 University Drive, Schuylkill Haven, PA 17972:",Canceled,200,,Commonwealth,,
Pi Beta Phi and Sigma Phi Epsilon Blue Mountain Candle Co. Sale Benefitting THON,Item Sale,Pi Beta Phi Pi Phi & Sigma Phi Epsilon,18 & 11,11/6/2023,11/17/2023,,Approved,300,775,Greek,,
Sticker Sale Benefitting THON,Item Sale,Bridget Monaco and Dana Szczublewski (2024),3098,11/27/2023,12/10/2023,,Canceled,100,,Independent Couple,,
Finals Goodie Bag Sale Benefitting THON,Item Sale,Rexanna Quedenfeld and Lisa Han (2024),3094,11/27/2023,12/4/2023,,Approved,50,30,Independent Couple,,
Pasta Dinner Benefitting THON,Item Sale,"Alpha Tau Omega ATO, Ohana  & Zeta Tau Alpha","1, 2 & 1161",11/7/2023,11/7/2023,Alpha Tau Omega: 119 E PROSPECT AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Rêve Dance Company Online Holiday Store Benefitting THON,Item Sale,RêVe Dance Company,470,11/7/2023,11/20/2023,,Approved,100,0,General,,
Whiplash x PKT Texas Roadhouse Fundraiser Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/7/2023,11/7/2023,UP: HUB Main Lounge Table #1:,Approved,500,5,Greek,,
Merch Sale Benefitting THON,Merchandise Sale,Bridget Monaco and Dana Szczublewski (2024),3098,11/27/2023,12/10/2023,,Denied,100,,Independent Couple,,
Austin and Noah Taco Tuesday Benefitting THON,Bake Sale,Austin Ehrensberger and Noah Straub (2024),3141,11/28/2023,11/28/2023,Austin Ehrensberger: 320 E BEAVER AVE  STATE COLLEGE PA 16801,Canceled,300,,Independent Couple,,
Hillel Donut Sale Benefitting THON,Item Sale,Hillel ,50,11/8/2023,11/8/2023,Hub Roberson Center Patio:     ,Approved,100,82,General,,
Yankee Candles Benefitting THON,Item Sale,World Campus,1318,11/8/2023,11/21/2023,,Approved,100,0,Commonwealth,,
Wilkes-Barre Vintage T-Shirt Sale Benefitting THON,Item Sale,Wilkes-Barre,76,11/8/2023,11/8/2023,Penn State Wilkes-Barre:     ,Approved,650,475,Commonwealth,,
Bracelets Benefitting THON,Item Sale,Era Pasha and Madeline Ritenour (2024),3147,11/28/2023,11/28/2023,,Approved,100,58,Independent Couple,,
Trilogy and Phi Sigma Kappa Breakfast Sandwich Sale Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,11/9/2023,11/12/2023,,Approved,300,214,Greek,,
Delta Gamma Bracelet Making Benefitting THON,Item Sale,Delta Gamma,37,11/9/2023,11/9/2023,Delta Gamma Sorority Suite:     ,Approved,100,105,Greek,,
Raffle basket tabling Benefitting THON,Item Sale,Harrisburg,164,11/9/2023,11/9/2023,Student Enrichment Center (SEC):     ,Denied,50,,Commonwealth,,
Liberal Arts Ambassadors Freindship Bracelet Sale Benefitting THON,Item Sale,Liberal Arts Ambassadors LAA,2664,11/9/2023,11/9/2023,HUB Table 4:,Canceled,100,,General,,
ADPi & SAE's Ribbon Sale Benefitting THON,Item Sale,Alpha Delta Pi ADPi,20,11/10/2023,11/10/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,11/10/2023,11/10/2023,Nittany Lion Shrine on Curtin Rd. and Burrowes Rd.:     ,Approved,250,813.75,Special Interest,,
Phi Gamma Nu Ribboning Fundraiser Benefitting THON,Item Sale,Phi Gamma Nu ,29,11/10/2023,11/10/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,819,General,,
Vibe Fundraiser Benefitting THON,Restaurant Fundraiser,Bridget Monaco and Dana Szczublewski (2024),3098,11/28/2023,11/29/2023,Vibe Coffee Co.: 401 W BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,0,Independent Couple,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,11/10/2023,11/10/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,255,General,,
Uncle John's Jawn's Benefitting THON,Restaurant Fundraiser,Hunter Porcano and Kat Irby (2024),3159,11/30/2023,11/30/2023,Uncle John's Jawns Cheesesteak Stand: 324 E CALDER WAY  STATE COLLEGE PA 16801,Approved,300,,Independent Couple,,
Delta Gamma x Delta Upsilon Ribbon Sale Benefitting THON,Item Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,11/10/2023,11/10/2023,GNC: 200 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,250,655,Greek,,
Anna & Diane Hoodie Sale Benefitting THON,Merchandise Sale,Anna Boyer and Diane Friedman (2024),3086,12/1/2023,12/14/2023,,Canceled,100,,Independent Couple,,
Epsilon Sigma Alpha Ribbon Sale Benefitting THON,Item Sale,Epsilon Sigma Alpha ESA,562,11/10/2023,11/10/2023,The Field: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,67,General,,
Ribbon Sale SPN Benefitting THON,Item Sale,Student Philanthropy Network SPN,3198,11/10/2023,11/10/2023,Family Clothesline: 352 E COLLEGE AVE STE B  STATE COLLEGE PA 16801,Approved,200,46,NewMC,,
Pie A Penn State Cheerleader Benefitting THON,Item Sale,Penn State Cheerleading Team,259,11/10/2023,11/10/2023,Penn State HUB- Robeson Center:     ,Canceled,250,,General,,
ServeState x Succulent Sale Benefitting THON,Item Sale,Servestate: Students For Philanthropy ServeState,546,11/10/2023,11/10/2023,Hub:     ,Approved,125,35,General,,
Delta Sigma Pi Pie a Brother Benefitting THON,Item Sale,Delta Sigma Pi ,85,11/10/2023,11/10/2023,Hub Lawn North:     ,Approved,100,483,General,,
Pillar Ribbon Sale Benefitting THON,Item Sale,Pillar ,1297,11/10/2023,11/10/2023,MISKA Jewelers: 100 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,387.85,Special Interest,,
Breakfast Sandwiches & Coffee Delivery Benefitting THON,Item Sale,Era Pasha and Madeline Ritenour (2024),3147,12/2/2023,12/2/2023,Era Pasha: 150 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,106,Independent Couple,,
Chipotle Fundraiser Benefitting THON,Restaurant Fundraiser,Maddie Neulander and Katelyn Felsberg (2024),3190,12/2/2023,12/2/2023,Chipotle: 116 HIESTER ST  STATE COLLEGE PA 16801,Approved,100,0,Independent Couple,,
Big 10 Championship Game Squares Benefitting THON,Sporting Event,Brendan Polidora and Jack Shields (2024),3057,12/2/2023,12/2/2023,Online:     ,Denied,1000,,Independent Couple,,
Tri-STATE Ribbon Sale x Benefitting THON,Item Sale,Tri-STATE ,1177,11/10/2023,11/10/2023,MISKA Jewelers: 100 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,150,100.56,Special Interest,,
Alpha Phi Omega Hot Chocolate Sale Benefitting THON,Item Sale,Alpha Phi Omega ,54,11/11/2023,11/11/2023,Hub Lawn:     ,Approved,100,100,General,,
Tapestry Dance Company Ribbon Sale Benefitting THON,Item Sale,Tapestry Dance Company ,142,11/11/2023,11/11/2023,Student Bookstore: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,50,46,General,,
Alpha Xi Delta & Lambda Chi Alpha Ribbon Sale Benefitting THON,Item Sale,Alpha Xi Delta AXID & Lambda Chi Alpha,31 & 5,11/11/2023,11/11/2023,The Original Waffle Shop West: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,400,,Greek,,
Autumn and Sarah Pasta Party Benefitting THON,Benefit Dinner,Autumn Swain and Sarah Vargas (2024),3161,12/3/2023,12/3/2023,632 W College Ave:,Approved,150,153,Independent Couple,,
Volé x Alpha Sigma Phi 11/12 Ribbon Sale Benefitting THON,Item Sale,Alpha Sigma Phi & Volé,126 & 34,11/12/2023,11/12/2023,Starbucks: 180 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,,Greek,,
Phi Chi Theta Ribbon Sale at the Field Benefitting THON,Item Sale,Phi Chi Theta ,206,11/12/2023,11/12/2023,The Field Burger and Tap: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,280,General,,
Whiplash and PKT's Ribbon Sale Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/12/2023,11/12/2023,Family Clothes Line: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,86,Greek,,
Behrend Ribbon Sales at Walmart Benefitting THON,Item Sale,Behrend,73,11/12/2023,11/12/2023,Walmart Supercenter: 1825 DOWNS DR  ERIE PA 16509,Approved,500,,Commonwealth,,
PSU Figure Skating Gardner's Candies Benefitting THON,Item Sale,Figure Skating,1334,11/12/2023,11/25/2023,,Approved,50,,General,,
Football Watch Party Benefitting THON,Benefit Dinner,Mackenzie Lee and Cade Helfrich (2024),3133,12/3/2023,12/3/2023,131 Heister Street apt 522:,Canceled,150,,Independent Couple,,
A-7 Double Good Benefitting THON,Item Sale,A-7,1192,11/13/2023,11/17/2023,,Approved,200,375.5,Special Interest,,
Penn State Law Book Sale Benefitting THON,Item Sale,Penn State Law,1552,11/13/2023,11/16/2023,Penn State Law- Lewis Katz Building:     ,Canceled,50,,Commonwealth,,
Painting Pup Kits Benefitting THON,Item Sale,Pre-Vet Club PVC,1095,11/13/2023,11/17/2023,HUB:     ,Approved,100,110,General,,
Liberal Arts Ambassadors Freindship Bracelet Sale Benefitting THON,Item Sale,Liberal Arts Ambassadors LAA,2664,11/13/2023,11/13/2023,UP- HUB Table ##4:,Canceled,75,,General,,
Gift card Raffle Benefitting THON,Item Sale,Fayette,44,11/13/2023,11/16/2023,Penn State Fayette:     ,Approved,8000,8000,Commonwealth,,
Hershey Kisses Grilled Stickies Sale Benefitting THON,Item Sale,Hershey Kisses HK,1667,11/13/2023,11/26/2023,,Approved,1000,916.5,Special Interest,,
Football Watch Party Benefitting THON,Benefit Dinner,Mackenzie Lee and Cade Helfrich (2024),3133,12/3/2023,12/3/2023,131 Heister Street apt 522:,Canceled,150,,Independent Couple,,
SPSEA X Sticker Sale Benefitting THON,Item Sale,Student Pennsylvania State Education Association SPSEA,96,11/13/2023,11/16/2023,,Approved,150,138,General,,
Whiplash x PKT Texas Roadhouse Fundraiser Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/14/2023,11/14/2023,UP: HUB Main Lounge Table #1:,Approved,100,96,Greek,,
SfW x EWiL Bracelet Sale Benefitting THON,Item Sale,Empowering Women in Law EWIL & Schreyer for Women SFW,2886 & 2927,11/14/2023,11/14/2023,HUB Informational Table #6:,Approved,100,76,General,,
Pasta Dinner Benefitting THON,Benefit Dinner,Gigi Corazzi and Alyssa Aprahamian (2024),3125,12/3/2023,12/3/2023,Gigi Corazzi: 150 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,200,,Independent Couple,,
Penn State Lehigh Valley Children's Book Drive Benefitting THON,Item Sale,Lehigh Valley,113,11/15/2023,11/28/2023,Penn State Lehigh Valley:     ,Approved,500,,Commonwealth,,
Epsilon Sigma Alpha Ribbon Sale Benefitting THON,Item Sale,Epsilon Sigma Alpha ESA,562,11/15/2023,11/15/2023,The Field: 1 COUNTRY CLUB LN  STATE COLLEGE PA 16803,Approved,100,,General,,
Corn Bag Fundraiser x Apollo Benefitting THON,Item Sale,Apollo ,1745,11/15/2023,11/15/2023,022 BBH:,Approved,150,210,Special Interest,,
Whiplash x PKT Texas Roadhouse Fundraiser Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/15/2023,11/15/2023,UP: HUB Main Lounge Table #1:,Approved,99.96,154,Greek,,
Trilogy and Phi Sigma Kappa Thanksgiving Dinner Benefitting THON,Item Sale,Phi Sigma Kappa PSK & Trilogy ,72 & 10,11/15/2023,11/15/2023,Phi Sigma Kappa: 501 S ALLEN ST  STATE COLLEGE PA 16801,Canceled,250,,Greek,,
DG x DU Carters Table Fundraiser Benefitting THON,Item Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,11/15/2023,11/15/2023,Carter's Table: 407 E BEAVER AVE  STATE COLLEGE PA 16801,Approved,100,0,Greek,,
Sports Business Club Professional Headshots Fundraiser Benefitting THON,Item Sale,Sports Business Club SBC,287,11/15/2023,11/15/2023,Business Building Atrium:     ,Approved,75,60,General,,
Ribbon Sales Benefitting THON,Item Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,11/15/2023,11/15/2023,McLanahan's Penn State Room: 414 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,562,Greek,,
Pie a brother and Pie a Dancer Benefitting THON,Item Sale,Nittany Dance Project NDP & Theta Chi,102 & 2876,11/15/2023,11/15/2023,HUB Robeson Center:     ,Approved,100,450,Greek,,
Finals Care Packages Benefitting THON,Item Sale,Brianna Lewis and Makenna Shields (2024),3107,12/3/2023,12/9/2023,Makenna Shields:     ,Approved,100,,Independent Couple,,
Science LionPride Ribbon and Bracelet Sale Benefitting THON,Item Sale,Science Lionpride SLP,1379,11/16/2023,11/16/2023,Maycee Burnside:     ,Approved,100,13,General,,
Ribbon Fundraiser- House Full of Letters x Benefitting THON,Item Sale,No Refund Theatre NRT,235,11/16/2023,11/18/2023,Forum 111:,Approved,30,17,General,,
TEPXGSS Pie a Brother Fundraiser Benefitting THON,Item Sale,Gamma Sigma Sigma  & Tau Epsilon Phi TEP,46 & 2213,11/16/2023,11/16/2023,Hub-Robeson Center Lawn:     ,Canceled,100,,Greek,,
TEPXGSS Pie a Brother Fundraiser Benefitting THON,Item Sale,Gamma Sigma Sigma  & Tau Epsilon Phi TEP,46 & 2213,11/16/2023,11/16/2023,Hub-Robeson Center Lawn:     ,Approved,100,,Greek,,
ADPi & SAE's Ribbon Sale Benefitting THON,Item Sale,Alpha Delta Pi ADPi,20,11/17/2023,11/17/2023,Yallah Taco: 310 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Axis Lion Shrine Benefitting THON,Item Sale,Axis ,1747,11/17/2023,11/17/2023,The Nittany Lion Shrine: Curtin Rd and Burrowes Rd:     ,Approved,250,238,Special Interest,,
Twin Valley Coffee Benefitting THON,Item Sale,Taylor Root and Meghan McFillin (2024),3193,12/3/2023,12/16/2023,,Approved,50,,Independent Couple,,
Delta Gamma x Delta Upsilon Benefitting THON,Item Sale,Delta Gamma & Delta Upsilon International Fraternity Delta Upsilon,1544 & 37,11/17/2023,11/17/2023,GNC: 200 E COLLEGE AVE  STATE COLLEGE PA 16801,Canceled,250,,Greek,,
Pasta Dinner Benefitting THON,Benefit Dinner,Maeve Riley and Sophie Sclafani (2024),3138,12/4/2023,12/10/2023,,Approved,150,231,Independent Couple,,
Penn State Scranton Joe Corbi's Catalog Fundraiser Benefitting THON,Item Sale,Scranton,171,11/17/2023,11/30/2023,Penn State Scranton/Online:     ,Canceled,250,,Commonwealth,,
Penn State CHAARG X 2000 Degrees Benefitting THON,Item Sale,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,11/17/2023,11/17/2023,2000 Degrees: 202 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,,General,,
Holiday Caroling Benefitting THON,Event/Concert,Maddie Neulander and Katelyn Felsberg (2024),3190,12/4/2023,12/4/2023,Katelyn Felsberg: 320 E BEAVER AVE Apt 505 STATE COLLEGE PA 16801,Canceled,80,,Independent Couple,,
Ornament Sale Benefitting THON,Item Sale,Ariana Buccelli and Isabella Turndorf (2024),3099,12/4/2023,12/4/2023,HUB Information Table #5:,Approved,100,105,Independent Couple,,
Candy Cane Grams Benefitting THON,Item Sale,Maia Ramsey and Avery Vodar (2024),3212,12/4/2023,12/9/2023,,Approved,54.93,30,Independent Couple,,
Penn State Lehigh Valley Ribbon Sale Benefitting THON,Item Sale,Lehigh Valley,113,11/19/2023,11/19/2023,Christkindlmarkt Bethlehem:: 101 FOUNDERS WAY  BETHLEHEM PA 18015,Approved,100,146,Commonwealth,,
Whiplash and PKT's Ribbon Sale Benefitting THON,Item Sale,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,11/19/2023,11/19/2023,Family Clothes Line: 352 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,,Greek,,
Madison x Ava Clothing Sale- Benefitting THON,Item Sale,Madison Ekstrom and Ava Paulucci (2024),3222,12/4/2023,12/4/2023,Ava Paulucci: 632 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,175,80,Independent Couple,,
Ribbon Sale Benefitting THON,Item Sale,Fayette,44,11/20/2023,11/22/2023,Shop N Save: 150 WALNUT HILL RD  UNIONTOWN PA 15401,Approved,1000,,Commonwealth,,
Chi Phi and Phi Rho Cookie Dough Benefitting THON,Item Sale,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,11/20/2023,12/3/2023,,Canceled,100,,Greek,,
Epsilon Sigma Alpha Ribbon Sale Benefitting THON,Item Sale,Epsilon Sigma Alpha ESA,562,11/20/2023,11/20/2023,Playa Bowls: 4 AIRPORT SQ  NORTH WALES PA 19454,Approved,100,65,General,,
Phi Chi Theta Ribbon Sale at the Philly Pretzel Factory Benefitting THON,Item Sale,Phi Chi Theta ,206,11/20/2023,11/20/2023,The Philly Pretzel Factory: 499 HORSHAM RD  HORSHAM PA 19044,Approved,100,340,General,,
Phi Gamma Nu Ribboning Fundraiser Benefitting THON,Item Sale,Phi Gamma Nu ,29,11/20/2023,11/20/2023,2133 Market St:,Approved,100,91,General,,
Club Cross Country November 20th Ribbon Sale Benefitting THON,Item Sale,Club Cross Country XC,305,11/20/2023,11/20/2023,Johnny's Bagels & Deli: 472 MAIN ST  BETHLEHEM PA 18018,Approved,125,43,General,,
Canes Fundraiser X Benefitting THON,Restaurant Fundraiser,Anya Arora and Maggie Conklin (2024),3229,12/4/2023,12/4/2023,Raising Canes: 228 E COLLEGE AVE  STATE COLLEGE PA 16801,Denied,50,,Independent Couple,,
Club Cross Country November 21st and 22nd Ribbon Sales Benefitting THON,Item Sale,Club Cross Country XC,305,11/21/2023,11/22/2023,Bucks County Running Co:     ,Approved,225,250.2,General,,
Camille Rock Shoe Charm Sale Benefitting THON,Item Sale,Fundraising Outreach 2,2370,11/21/2023,11/26/2023,Anywhere where Committee Member lives:     ,Approved,100,26.6,joint,,
Tapestry Dance Company Charleston Wrapped Online Fundraiser Benefitting THON,Item Sale,Tapestry Dance Company ,142,11/21/2023,12/4/2023,,Approved,200,,General,,
Club Cross Country November 21st Ribbon Sale Benefitting THON,Item Sale,Club Cross Country XC,305,11/21/2023,11/21/2023,Witch Flavor: 588 3RD ST  BEAVER PA 15009,Approved,150,60,General,,
S'mores Benefitting THON,Bake Sale,Ashtyn Webb and Gab Zuckerman (2024),3089,12/5/2023,12/5/2023,Gab's House: 316 W FAIRMOUNT AVE  STATE COLLEGE PA 16801,Canceled,100,,Independent Couple,,
Bracelets Benefitting THON,Item Sale,Era Pasha and Madeline Ritenour (2024),3147,12/5/2023,12/5/2023,HUB:     ,Canceled,100,,Independent Couple,,
Epsilon Sigma Alpha Ribbon Sale Benefitting THON,Item Sale,Epsilon Sigma Alpha ESA,562,11/22/2023,11/22/2023,Orbis Caffee: 675 WASHINGTON RD  PITTSBURGH PA 15228,Approved,100,62,General,,
Pittsburgh Ribbon Sales Benefitting THON,Item Sale,Delta Sigma Pi ,85,11/22/2023,11/22/2023,Bethel Bakery: 5200 BRIGHTWOOD RD  BETHEL PARK PA 15102,Approved,100,432,General,,
Ribbon Sale x Apollo Benefitting THON,Item Sale,Apollo ,1745,11/22/2023,11/22/2023,The Juice Pod Ridley: 237 MILMONT AVE  FOLSOM PA 19033,Approved,50,102,Special Interest,,
2024 Logo Button Pins Benefitting THON,Item Sale,Manav Shah and Amisha Chander (2024),3142,12/5/2023,12/17/2023,,Denied,999.98,,Independent Couple,,
Ribbon Sale Benefitting THON,Item Sale,Pillar ,1297,11/23/2023,11/23/2023,Primantis Downtown: 2 MARKET SQ  PITTSBURGH PA 15222,Canceled,50,,Special Interest,,
Pillar Ribbon Sale Benefitting THON,Item Sale,Pillar ,1297,11/24/2023,11/24/2023,Dwellings Boutique: 426 MARKET ST  LEWISBURG PA 17837,Canceled,50,,Special Interest,,
Pillar Ribbon Sale Benefitting THON,Item Sale,Pillar ,1297,11/24/2023,11/24/2023,Yardley Jewelers: 2 S MAIN ST  YARDLEY PA 19067,Canceled,50,,Special Interest,,
Penn State Lehigh Valley Ribbon Sale Benefitting THON,Item Sale,Lehigh Valley,113,11/25/2023,11/25/2023,Christkindlmarkt Bethlehem:     ,Canceled,100,,Commonwealth,,
Penn State Lehigh Valley Ribbon Sale Benefitting THON,Item Sale,Lehigh Valley,113,11/25/2023,11/25/2023,Christkindlmarkt Bethlehem: 101 FOUNDERS WAY  BETHLEHEM PA 18015,Approved,100,645,Commonwealth,,
Philadelphia Ribbon Sales Benefitting THON,Item Sale,Delta Sigma Pi ,85,11/25/2023,11/25/2023,Carlino's Market: 128 W MARKET ST  WEST CHESTER PA 19382,Approved,100,1090.82,General,,
Atlas Ribbon Sale Benefitting THON,Item Sale,Atlas ,312,11/25/2023,11/25/2023,Helmrich’s Seafood: 137 5TH ST  WILLIAMSPORT PA 17701,Approved,100,186,Special Interest,,
Virginia Ribbon Sales Benefitting THON,Item Sale,Delta Sigma Pi ,85,11/25/2023,11/25/2023,Panera Bread: 7351 ATLAS WALK WAY  GAINESVILLE VA 20155,Approved,100,319,General,,
Atlas Ribbon Sale Benefitting THON,Item Sale,Atlas ,312,11/25/2023,11/25/2023,Champion Shoe Sales & Repair: 119 N 2ND ST REAR  LEWISBURG PA 17837,Approved,100,136,Special Interest,,
Atlas Ribbon Sale Benefitting THON,Item Sale,Atlas ,312,11/25/2023,11/25/2023,Sugar Whipped Bakery: 77 E MAIN ST  LITITZ PA 17543,Approved,100,67,Special Interest,,
Phi Chi Theta Ribboning at the Starbucks in Doylestown Benefitting THON,Item Sale,Phi Chi Theta ,206,11/25/2023,11/25/2023,Starbucks: 10 N MAIN ST  DOYLESTOWN PA 18901,Approved,100,135,General,,
Phi Gamma Nu Ribbon Sale Benefitting THON,Item Sale,Phi Gamma Nu ,29,11/25/2023,11/25/2023,Pennsylvania Macaroni Co.: 2010 PENN AVE # 2012  PITTSBURGH PA 15222,Approved,100,359,General,,
