fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Club Hockey Jeopardy Night Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Men's Ice Hockey Club Ice Lions & Whiplash Dance Team,215 & 129,12/5/2023,12/5/2023,UP: Forum Bldg RM 108:,Approved,250,100,General,,
12 Days of Holidays Benefitting THON,100 Days 'Til THON Alternative Fundraiser,OPPerations - LT Liaison,401,12/12/2023,12/23/2023,,Denied,2028,,General,,
Club Wrestling Pie an Exec Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Club Wrestling ,1546,1/19/2024,1/19/2024,Hub Lawn:     ,Approved,75,151,General,,
Game Night Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Alpha Epsilon Delta & Phi Epsilon Kappa PEK,65 & 2457,1/28/2024,1/28/2024,022 Biobehavioral Health Building:,Approved,1500,1521,General,,
Kaizen X OBG 5K 2023 Benefitting THON,5K,Kaizen  & Operation Blue and Gold OBG,133 & 1896,9/10/2023,9/10/2023,Wagner Building:     ,Approved,200,670,General,,
ur mom Benefitting THON,5K,R&R Test Org,777,9/18/2023,9/18/2023,ur mom:  227d hub house,Denied,500000,,General,,
ur mom Benefitting THON,5K,R&R Test Org,777,9/18/2023,9/18/2023,ur mom:  227d hub house,Denied,500000,,General,,
Club soccer running Benefitting THON,5K,Men's Club Soccer  & Women's Club Soccer ,69 & 145,9/20/2023,9/22/2023,,Approved,200,,General,,
Fayette 5k Fundraiser Benefitting THON,5K,Fayette,44,10/2/2023,10/2/2023,Penn State University Park:     ,Denied,1000,,Commonwealth,,
Phi Chi Theta 5k Fundraiser Benefitting THON,5K,Phi Chi Theta ,206,10/8/2023,10/15/2023,THOn 5k:,Denied,200,,General,,
Phi Chi Theta 5k Fundraiser Benefitting THON,5K,Phi Chi Theta ,206,10/8/2023,10/15/2023,THON 5k:,Denied,300,,General,,
Phi Chi Theta 5k Fundraiser Benefitting THON,5K,Phi Chi Theta ,206,10/8/2023,10/15/2023,THON 5k:,Denied,200,,General,,
5K Face Painting x Benefitting THON,5K,Eberly College of Science Student Council ,140,10/20/2023,10/22/2023,BJC:     ,Denied,150,,General,,
Phi Kappa Theta & Sigma Delta Tau Kite Flying 5K Fundraiser Benefitting THON,5K,Phi Kappa Theta & Sigma Delta Tau,24 & 49,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,500,,Greek,,
Sign Language Organization 5k Beat the Heat Benefitting THON,5K,Sign Language Organization ,237,10/22/2023,10/22/2023,BJC at 5k:,Denied,200,,General,,
Mack Madness 5k Fundraiser Benefitting THON,5K,"Mack Madness ""Mackie""",2685,10/22/2023,10/22/2023,THON 5k:,Approved,150,,Special Interest,,
Ski Club Does Costume Contest at 5K Benefitting THON,5K,Ski Club (Recreational) PSU Ski Club,392,10/22/2023,10/22/2023,BJC:     ,Denied,102,,General,,
Ski Club Holds a Game Of Tag During the 5K Benefitting THON,5K,Ski Club (Recreational) PSU Ski Club,392,10/22/2023,10/22/2023,BJC:     ,Denied,102,,General,,
Trilogy 5K Fundraiser Benefitting THON,5K,Trilogy ,10,10/22/2023,10/22/2023,THON 5K:,Denied,500,,Special Interest,,
Kappa Alpha Theta 5k Fundraiser Benefitting THON,5K,Kappa Alpha Theta,14,10/22/2023,10/22/2023,5k Finish Line:,Denied,300,,Greek,,
Penn State Law Sprint Race/Long Jump for 5k Benefitting THON,5K,Penn State Law,1552,10/22/2023,10/22/2023,5k:,Denied,100,,Commonwealth,,
Phi Gamma Nu Superhero Capes at 5K Benefitting THON,5K,Phi Gamma Nu ,29,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,200,,General,,
Breakfast Sandwiches Benefitting THON,Bake Sale,Maggie DeVito and Janine Fiorella (2024),3168,9/24/2023,9/24/2023,Pugh Centre: 150 E BEAVER AVE Apt. 414 STATE COLLEGE PA 16801,Approved,50,565,Independent Couple,,
"5K ""Fear Being Booed"" Bag Benefitting THON",5K,Alpha Epsilon Pi AEPi & Alpha Phi,12 & 118,10/22/2023,10/22/2023,Outside the BJC:     ,Denied,200,,Greek,,
Hot Dog Sale Benefitting THON,Bake Sale,Anna Boyer and Diane Friedman (2024),3086,9/24/2023,9/24/2023,Anna's House: 429 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,25,Independent Couple,,
! Hot Dog Eating Contest Benefitting THON,Bake Sale,Ian Cox and Sara Almasy (2024),3174,9/24/2023,10/1/2023,Ian Cox's House: 302 LOCUST LN  STATE COLLEGE PA 16801,Approved,200,,Independent Couple,,
Phi Gamma Delta and Sigma Kappa 5k Fundraiser Benefitting THON,5K,Phi Gamma Delta & Sigma Kappa,35 & 19,10/22/2023,10/22/2023,Along the 5k route:,Denied,500,,Greek,,
Whiplash x PKT 5K Fundraiser Benefitting THON,5K,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/22/2023,10/22/2023,THON 5K powered by PNC:,Denied,1500,,General,,
Boulevard 5k Fundraiser Benefitting THON,5K,Boulevard BLVD,1784,10/22/2023,10/22/2023,Outside of the Bryce Jordan Center:     ,Denied,50,,General,,
Take off Into the Future 5k x Apollo Benefitting THON,5K,Apollo ,1745,10/22/2023,10/22/2023,BJC- Curtain Rd:     ,Denied,200,,Special Interest,,
Sigma Kappa and Phi Gamma Delta 5K Fundraiser Benefitting THON,5K,Phi Gamma Delta & Sigma Kappa,35 & 19,10/22/2023,10/22/2023,Along the 5K Route:,Denied,500,,Greek,,
Delta Zeta / Sigma Pi 5k Fundraiser Benefitting THON,5K,Delta Zeta DZ & Sigma Pi,39 & 36,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Approved,500,30,Greek,,
Blue & White Society BWS 5k Fundraiser Benefitting THON,5K,Blue & White Society BWS ,53,10/22/2023,10/22/2023,THON 5k:,Denied,200,,General,,
Phi Kappa Tau & Whiplash 5k Fundraiser Benefitting THON,5K,Phi Kappa Tau PKT/ Phi Tau  & Whiplash Dance Team,47 & 215,10/22/2023,10/22/2023,THON 5k powered by PNC:,Denied,1500,,General,,
Alphi Phi Omgea Benefitting THON,5K,Alpha Phi Omega ,54,10/22/2023,10/22/2023,Hub Lawn:     ,Denied,100,,General,,
Club Track and Field 5k Fundraiser Benefitting THON,5K,Club Track and Field ,270,10/22/2023,10/22/2023,Bryce Jordan Center (where the Thon 5k is located):,Denied,700,,General,,
Alpha Epsilon Delta and Phi Epsilon Kappa 5k Fundraiser Benefitting THON,5K,Alpha Epsilon Delta & Phi Epsilon Kappa PEK,65 & 2457,10/22/2023,10/22/2023,Bryce Jordan Center:     ,Denied,100,,General,,
